image_id,file_name,category,silhouette,sleeve,neckline,color,style,pattern,extra_notes
img_drs_a_001,img_drs_a_001.jpg,dress,peplum,sleeveless,v-neck,blue and beige,modern,checkered,fitted waist and tie around neck
img_drs_a_002,img_drs_a_002.jpg,dress,peplum,sleeveless,round,black,pret and minimal,plain,box pleated bottom
img_drs_a_003,img_drs_a_003.jpg,dress,fitted,sleeveless,v-neck,deep red,glam,plain,wrap like dress
img_drs_a_004,img_drs_a_004.jpg ,dress,a-line,sleeveless,halter,red,glam,plain,a slit dress
img_drs_a_005,img_drs_a_005.jpg,dress,straight,sleeveless,halter,multicolor,casual,pattern,detailed patterns
img_drs_a_006,img_drs_a_006.jpg,dress,a-line,sleeveless,v-neck,blue,modern,plain,
img_drs_a_007,img_drs_a_007.jpg,dress,fitted,sleeveless,v-neck,light sap green,modern,beaded,beaded embroidery work
img_drs_a_008,img_drs_a_008.jpg,dress,a-line,sleeveless,v-neck,black,glam,plain,has bow and flares
img_drs_a_009,img_drs_a_009.jpg,dress,straight,sleeveless,strapless,lettuce green,minimal,plain,tie around neck
img_drs_a_010,img_drs_a_010.jpg,dress ,fitted,long,round,multicolor,minimal,plain,wavy edge finishes
img_pnt_a_011,img_pnt_a_011.jpg,pant,loose-fitted,none,none,yellow,casual,plain,
img_pnt_a_012,img_pnt_a_012.jpg,pant,loose-fitted,none,none,grey,casual,plain,
img_pnt_a_013,img_pnt_a_013.jpg,pant,loose-fitted,none,none,faded grey,casual,denim,
img_pnt_a_014,img_pnt_a_014.jpg,pant,flared,none,none,white,formal,denim,flared legs
img_pnt_a_015,img_pnt_a_015.jpg,pant,flared,none,none,faded dark blue,formal,denim,flared legs 
img_pnt_a_016,img_pnt_a_016.jpg,pant,loose-fitted,none,none,grey,formal,plain,
img_pnt_a_017,img_pnt_a_017.jpg,pant,loose-fitted,none,none,yellow,minimal,plain,pleated shorts 
img_skt_a_018,img_skt_a_018.jpg,skirt,a-line,none,none,black,minimal,plain,
img_skt_a_019,img_skt_a_019.jpg,skirt,flared,none,none,white,casual,plain,shirring effect
img_skt_a_020,img_skt_a_020.jpg,skirt,a-line,none,none,brown and beige,tailored,checkered,
img_skt_a_021,img_skt_a_021.jpg,skirt,fitted,none,none,blue,casual,denim,
img_skt_a_022,img_skt_a_022.jpg,skirt,fitted,none,none,dark blue,casual,denim,has small slit
img_skt_a_023,img_skt_a_023.jpg,skirt,a-line,none,none,chocolate brown,tailored,plain,with a gold buckle belt 
img_skt_a_024,img_skt_a_024.jpg,skirt,flared,none,none,multicolor,modern,animal print,mini skirt with many flares
img_skt_a_025,img_skt_a_025.jpg,skirt,fitted,none,none,multicolor,modern,animal print,sequin work and twist effect
img_skt_a_026,img_skt_a_026.jpg,skirt,fitted,none,none,brown,modern,plain with bead,big sequin beaded
img_skt_a_027,img_skt_a_027.jpg,skirt,fitted,none,none,black,modern,plain with bead,sequins with glittering effect
img_top_a_028,img_top_a_028.jpg,top,a-line,sleeveless,halter,multicolor,modern and minimal,polka dots,neck tie at the back
img_top_a_029,img_top_a_029.jpg,top,fitted,sleeveless,round,multicolor,casual,plain,
img_top_a_030,img_top_a_030.jpg,top,loose-fitted,short,round,beige and red,casual,printed,
img_top_a_031,img_top_a_031.jpg,top,fitted,sleeveless,square,lcream and black,casual,polka dots,
img_top_a_032,img_top_a_032.jpg,top,fitted,sleeveless,square,yellow,modern,plain,
